table,name,key,title,description,comments,example,type,format,unique,required,minimum,maximum,namespace,dcterms:isVersionOf,dcterms:references,rdfs:comment,status,new,ignore
geological-context-media,subjectPartLiteral,,Subject Part Literal,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the dwc:Media resource, denoted by a controlled value string.",Values SHOULD be selected from the Controlled Vocabulary for ac:subjectPart. It is best practice to use ac:subjectPart instead of ac:subjectPartLiteral whenever practical.,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectPartLiteral,http://rs.tdwg.org/ac/terms/version/subjectPartLiteral-2023-09-05,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the media resource, denoted by a controlled value string.",recommended,false,true
geological-context-media,subjectPart,,Subject Part,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the dwc:Media resource, denoted by an IRI.",,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectPart,http://rs.tdwg.org/ac/terms/version/subjectPart-2023-09-05,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the media resource, denoted by an IRI.",recommended,false,true
geological-context-media,subjectOrientationLiteral,,Subject Orientation Literal,"Specific orientation (= direction, view angle) of the subject represented in the dwc:Media resource with respect to the acquisition device, denoted by a controlled value string.",Values SHOULD be selected from the Controlled Vocabulary for ac:subjectOrientation. It is best practice to use ac:subjectOrientation instead of ac:subjectOrientationLiteral whenever practical.,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectOrientationLiteral,http://rs.tdwg.org/ac/terms/version/subjectOrientationLiteral-2023-09-05,"Specific orientation (= direction, view angle) of the subject represented in the media resource with respect to the acquisition device, denoted by a controlled value string.",recommended,false,true
geological-context-media,subjectOrientation,,Subject Orientation,"Specific orientation (= direction, view angle) of the subject represented in the dwc:Media resource with respect to the acquisition device.",,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/subjectOrientation,http://rs.tdwg.org/ac/terms/version/subjectOrientation-2023-09-05,"Specific orientation (= direction, view angle) of the subject represented in the media resource with respect to the acquisition device, denoted by an IRI.",recommended,false,true
geological-context-media,physicalSetting,,Physical Setting,"The setting of the content represented in a dwc:Media resource, such as images, sounds, and movies if the provider deems them relevant.",,,string,default,,,,,ac,http://rs.tdwg.org/ac/terms/physicalSetting,http://rs.tdwg.org/ac/terms/version/physicalSetting-2020-01-27,"The setting of the content represented in a dwc:Media resource, such as images, sounds, and movies if the provider deems them relevant.",recommended,false,true
identification,identificationID,pk,Identification ID,An identifier for a dwc:Identification.,Recommended best practice is to use a globally unique identifier.,`9992`,string,default,true,true,,,dwc,http://rs.tdwg.org/dwc/terms/identificationID,http://rs.tdwg.org/dwc/terms/version/identificationID-2023-06-28,An identifier for the dwc:Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.,recommended,false,false
identification,materialEntityID,fk,Material Entity ID,An identifier for a dwc:MaterialEntity based on which a dwc:Identification was made.,Recommended best practice is to use a globally unique identifier.,`06809dc5-f143-459a-be1a-6f03e63fc083`,string,default,false,false,,,dwc,http://rs.tdwg.org/dwc/terms/materialEntityID,http://rs.tdwg.org/dwc/terms/version/materialEntityID-2023-09-13,An identifier for a particular instance of a dwc:MaterialEntity.,recommended,false,true
identification,mediaID,fk,Media ID,An identifier for a dwc:Media resource based on which a dwc:Identification was made.,Recommended best practice is to use a globally unique identifier.,,string,default,false,false,,,dwc,,,,recommended,true,true
identification,nucleotideAnalysisID,fk,Nucleotide Analysis ID,An identifier for a dwc:NucleotideAnalysis based on which a dwc:Identification was made.,Recommended best practice is to use a globally unique identifier.,,string,default,false,false,,,dwc,,,,recommended,true,true
identification,nucleotideSequenceID,fk,Nucleotide Sequence ID,An identifier for a dwc:NucleotideSequence based on which a dwc:Identification was made.,Recommended best practice is to use a globally unique identifier.,,string,default,false,false,,,dwc,,,,recommended,true,true
identification,occurrenceID,fk,Occurrence ID,An identifier for a dwc:Occurrence based on which a dwc:Identification was made.,Recommended best practice is to use a globally unique identifier.,`http://arctos.database.museum/guid/MSB:Mamm:233627`; `000866d2-c177-4648-a200-ead4007051b9`; `urn:catalog:UWBM:Bird:89776`,string,default,false,false,,,dwc,http://rs.tdwg.org/dwc/terms/occurrenceID,http://rs.tdwg.org/dwc/terms/version/occurrenceID-2023-06-28,"An identifier for the dwc:Occurrence (as opposed to a particular digital record of the dwc:Occurrence). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the dwc:occurrenceID globally unique.",recommended,false,true
identification,organismID,fk,Organism ID,An identifier for a dwc:Organism based on which a dwc:Identification was made.,Recommended best practice is to use a globally unique identifier.,,string,default,false,false,,,dwc,http://rs.tdwg.org/dwc/terms/organismID,http://rs.tdwg.org/dwc/terms/version/organismID-2017-10-06,An identifier for the dwc:Organism instance (as opposed to a particular digital record of the dwc:Organism). May be a globally unique identifier or an identifier specific to the data set.,recommended,false,true
identification,verbatimIdentification,,Verbatim Identification,A string representing the taxonomic identification as it appeared in the original record.,"This term is meant to allow the capture of an unaltered original identification/determination, including identification qualifiers, hybrid formulas, uncertainties, etc. This term is meant to be used in addition to dwc:scientificName (and dwc:identificationQualifier etc.), not instead of it.",`Peromyscus sp.`; `Ministrymon sp. nov. 1`; `Anser anser × Branta canadensis`; `Pachyporidae?`; `Potentilla × pantotricha Soják`; `Aconitum pilipes × A. variegatum`; `Lepomis auritus x cyanellus`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/verbatimIdentification,http://rs.tdwg.org/dwc/terms/version/verbatimIdentification-2023-06-28,A string representing the taxonomic identification as it appeared in the original record.,recommended,false,false
identification,isAcceptedIdentification,,Is Accepted Identification,An indicator that this dwc:Identification of a dwc:Organism is a currently an accepted or preferred one.,,,boolean,default,,,,,dwc,,,,recommended,true,false
identification,taxonFormula,,Taxon Formula,A string representing the pattern to use to construct a dwc:Identification from dwc:Taxon names and identification qualifiers.,Recommended best practice is to use a controlled vocabulary such as https://arctos.database.museum/info/ctDocumentation.cfm?table=cttaxa_formula.,`A`; `A ?`; `A or B`; `A and B`; `A x B`; `A cf.`; `A aff.`,string,default,,,,,dwc,,,,recommended,true,false
identification,typeStatus,,Type Status,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.","Recommended best practice is to separate the values in a list with space vertical bar space (` | `). This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`holotype`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/typeStatus,http://rs.tdwg.org/dwc/terms/version/typeStatus-2023-06-28,"A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.",recommended,false,false
identification,typeDesignationType,,typeDesignationType,A category that best matches the nature of a type designation.,From https://rs.gbif.org/extension/gbif/1.0/typesandspecimen.xml.,,string,default,,,,,gbif,http://rs.gbif.org/terms/1.0/typeDesignationType,https://rs.gbif.org/extension/gbif/1.0/typesandspecimen.xml,The reason why this specimen or name is designated as a type.,recommended,false,true
identification,identifiedBy,,Identified By,A list (concatenated and separated) of names of dcterms:Agents responsible for making a taxonomic determination of a dwc:Organism.,"When used in the context of a dwc:Survey, the subject consists of all of the dwc:Identifications related to the dwc:Survey. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).",`James L. Patton`; `Theodore Pappenfuss | Robert Macey`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/identifiedBy,http://rs.tdwg.org/dwc/terms/version/identifiedBy-2023-06-28,"A list (concatenated and separated) of names of people, groups, or organizations who assigned the dwc:Taxon to the subject.",recommended,false,false
identification,identifiedByID,fk,Identified By ID,An identifier for a dcterms:Agent responsible for making a dwc:Identification.,"When used in the context of a dwc:Survey, the subject consists of all of the dwc:Identifications related to the dwc:Survey. Recommended best practice is to provide a single identifier that disambiguates the details of the identifying dcterma:Agent. If a list is used, the order of the identifiers on the list should not be assumed to convey any semantics. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).",`https://orcid.org/0000-0002-1825-0097` (for an individual); `https://orcid.org/0000-0002-1825-0097 | https://orcid.org/0000-0002-1825-0098` (for a list of people),string,default,false,false,,,dwciri,http://rs.tdwg.org/dwc/iri/identifiedBy,http://rs.tdwg.org/dwc/iri/version/identifiedBy-2025-06-12,"A person, group, or organization who assigned the dwc:Taxon to the subject.",recommended,false,false
identification,dateIdentified,,Date Identified,The date on which the subject was determined as representing the dwc:Taxon.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007),string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/dateIdentified,http://rs.tdwg.org/dwc/terms/version/dateIdentified-2025-06-12,The date on which the subject was determined as representing the dwc:Taxon.,recommended,false,false
identification,identificationReferences,,Identification References,A list (concatenated and separated) of dcterms:BibliographicResources used in the dwc:Identification.,"When used in the context of a dwc:Survey, the subject consists of all of the dwc:Identifications related to the dwc:Survey. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).","`Aves del Noroeste Patagonico. Christie et al. 2004.`; `Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata). Herpetologica, 53(1), 30-49.`",string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/identificationReferences,http://rs.tdwg.org/dwc/terms/version/identificationReferences-2025-06-12,"A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the dwc:Identification.",recommended,false,false
identification,taxonAssignmentMethod,,Taxon Assignment Method,Tool and thresholds used to compare sequences when computing 'species-level' OTUs.,,`blastn`; `2.6.0+`; `e-value cutoff: 0.001`; `identity cutoff: 0.97`,string,default,,,,,dwc,,,,recommended,true,false
identification,identificationVerificationStatus,,Identification Verification Status,A categorical indicator of the extent to which a taxonomic determination has been verified to be correct.,"Recommended best practice is to use a controlled vocabulary such as that used in HISPID and ABCD. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`0` (unverified in HISPID/ABCD).,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus,http://rs.tdwg.org/dwc/iri/version/identificationVerificationStatus-2015-03-27,A categorical indicator of the extent to which a dwc:Identification has been verified to be correct.,recommended,false,false
identification,identificationRemarks,,Identification Remarks,Comments or notes about the dwc:Identification.,,`Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/identificationRemarks,http://rs.tdwg.org/dwc/terms/version/identificationRemarks-2023-06-28,Comments or notes about the dwc:Identification.,recommended,false,false
identification,taxonID,,Taxon ID,An identifier for a dwc:Taxon.,,`8fa58e08-08de-4ac1-b69c-1235340b7001`; `32567`; `https://www.gbif.org/species/212`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/taxonID,http://rs.tdwg.org/dwc/terms/version/taxonID-2023-06-28,An identifier for the set of dwc:Taxon information. May be a global unique identifier or an identifier specific to the data set.,recommended,false,false
identification,scientificNameID,,Scientific Name ID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,,`urn:lsid:ipni.org:names:37829-1:1.3`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/scientificNameID,http://rs.tdwg.org/dwc/terms/version/scientificNameID-2017-10-06,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,recommended,false,false
identification,geoClassificationCode,,Geo Classification Code,An identifier for a minext:classificationCode.,Classification codes are specific to a classification system and conform to a xkos:notationPattern.,`71.02.02a.01`; `9.AD.25`,string,default,,,,,minext,http://rs.tdwg.org/mineralogy/terms/classificationCode,,Alphanumeric pattern that adheres to a defined encoding scheme that identifies a particular term in a classification scheme.,recommended,false,true
identification,geoName,,Geo Name,"A human-readable lexical label assigned to a mineral includes both informal (e.g., variety, synonym) and formal (classification) forms.",,`Garnet Group`; `Almandine`; `Plagioclase (Series)`; `Fluorite`,string,default,,,,,minext,http://rs.tdwg.org/mineralogy/terms/name,,"A human-readable lexical label assigned to a mineral includes both informal (e.g., variety, synonym) and formal (classification) forms.",recommended,false,true
identification,scientificName,,Scientific Name,"A scientific name string, not including authorship, date or identification qualifiers.","When applied to an Organism or Occurrence, this term should be used to represent the scientific name that was applied to the associated Organism in accordance with the Taxon to which it was or is currently identified. Names should be compliant to the most recent nomenclatural code. For example, names of hybrids for algae, fungi and plants should follow the rules of the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles H.1, H.2 and H.3). Thus, use the multiplication sign `×` (Unicode `U+00D7`, HTML `&times;`) to identify a hybrid, not `x` or `X`, if possible.",`Coleoptera` (order); `Vespertilionidae` (family); `Manis` (genus); `Ctenomys sociabilis` (genus + specificEpithet); `Ambystoma tigrinum diaboli` (genus + specificEpithet + infraspecificEpithet); `Quercus agrifolia var. oxyadenia` (genus + specificEpithet + taxonRank + infraspecificEpithet); `×Agropogon littoralis`; `Mentha ×smithiana`; `Agrostis stolonifera L. × Polypogon monspeliensis`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/scientificName,http://rs.tdwg.org/dwc/terms/version/scientificName-2023-06-28,"The full scientific name, with authorship and date information if known. When forming part of a dwc:Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the dwc:identificationQualifier term.",recommended,false,false
identification,scientificNameAuthorship,,Scientific Name Authorship,The authorship information for the dwc:scientificName formatted according to the conventions of the applicable dwc:nomenclaturalCode.,,"`(Torr.) J.T. Howell`; `(Martinovský) Tzvelev`; `(Györfi, 1952)`",string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,http://rs.tdwg.org/dwc/terms/version/scientificNameAuthorship-2023-06-28,The authorship information for the dwc:scientificName formatted according to the conventions of the applicable dwc:nomenclaturalCode.,recommended,false,false
identification,vernacularName,,Vernacular Name,A common or vernacular name.,,`cóndor andino`; `death cap`; `rainbow trout`; `Gänsegeier`; `smoky quartz`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/vernacularName,http://rs.tdwg.org/dwc/terms/version/vernacularName-2023-06-28,A common or vernacular name.,recommended,false,false
identification,taxonRank,,Taxon Rank,The taxonomic rank of the most specific name in the dwc:scientificName.,"Recommended best practice is to use a controlled vocabulary. The taxon ranks of algae, fungi and plants are defined in the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles H3.2, H4.4 and H.3.1).",`subspecies`; `varietas`; `forma`; `species`; `genus`; `nothogenus`; `nothospecies`; `nothosubspecies`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/taxonRank,http://rs.tdwg.org/dwc/terms/version/taxonRank-2023-06-28,The taxonomic rank of the most specific name in the dwc:scientificName.,recommended,false,false
identification,externalClassificationSource,,External Classification Source,"A reference to a source outside the dataset where the identifying name, code, or taxon concept can be found.","The external source applies to whichever of dwc:taxonID, dwc:scientificNameID, minext:geoClassificationCode, minext:geoName, dwc:scientificName, or dwc:vernacularName is populated.","`http://www.catalogueoflife.org/data/taxon/`; `https://avibase.bsc-eoc.org/`; `Dana, J. D., Dana, E. S., & Gaines, R. V. (1997). Dana's new mineralogy: The system of mineralogy of James Dwight Dana and Edward Salisbury Dana.`; `Strunz H, Nickel EH (2001) Strunz Mineralogical Tables, 9th Edition. Berlin and Stuttgart 870 pp.`",string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,false,true
identification,kingdom,,Kingdom,The full scientific name of the kingdom in which the dwc:Taxon is classified.,,`Animalia`; `Archaea`; `Bacteria`; `Chromista`; `Fungi`; `Plantae`; `Protozoa`; `Viruses`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/kingdom,http://rs.tdwg.org/dwc/terms/version/kingdom-2023-06-28,The full scientific name of the kingdom in which the dwc:Taxon is classified.,recommended,false,false
identification,phylum,,Phylum,The full scientific name of the phylum or division in which the dwc:Taxon is classified.,,`Chordata` (phylum); `Bryophyta` (division),string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/phylum,http://rs.tdwg.org/dwc/terms/version/phylum-2023-06-28,The full scientific name of the phylum or division in which the dwc:Taxon is classified.,recommended,false,false
identification,class,,Class,The full scientific name of the class in which the dwc:Taxon is classified.,,`Mammalia`; `Hepaticopsida`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/class,http://rs.tdwg.org/dwc/terms/version/class-2023-06-28,The full scientific name of the class in which the dwc:Taxon is classified.,recommended,false,false
identification,order,,Order,The full scientific name of the order in which the dwc:Taxon is classified.,,`Carnivora`; `Monocleales`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/order,http://rs.tdwg.org/dwc/terms/version/order-2023-06-28,The full scientific name of the order in which the dwc:Taxon is classified.,recommended,false,false
identification,family,,Family,The full scientific name of the family in which the dwc:Taxon is classified.,,`Felidae`; `Monocleaceae`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/family,http://rs.tdwg.org/dwc/terms/version/family-2023-06-28,The full scientific name of the family in which the dwc:Taxon is classified.,recommended,false,false
identification,subfamily,,Subfamily,The full scientific name of the subfamily in which the dwc:Taxon is classified.,,`Periptyctinae`; `Orchidoideae`; `Sphindociinae`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/subfamily,http://rs.tdwg.org/dwc/terms/version/subfamily-2023-06-28,The full scientific name of the subfamily in which the dwc:Taxon is classified.,recommended,false,false
identification,genus,,Genus,The full scientific name of the genus in which the dwc:Taxon is classified.,,`Puma`; `Monoclea`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/genus,http://rs.tdwg.org/dwc/terms/version/genus-2023-06-28,The full scientific name of the genus in which the dwc:Taxon is classified.,recommended,false,false
identification,genericName,,Generic Name,The genus part of the dwc:scientificName without authorship.,For synonyms the accepted genus and the genus part of the name may be different. The term dwc:genericName should be used together with dwc:specificEpithet to form a binomial and with dwc:infraspecificEpithet to form a trinomial. The term dwc:genericName should only be used for combinations. Uninomials of generic rank do not have a dwc:genericName.,"`Felis` (for scientificName `Felis concolor`, with accompanying values of `Puma concolor` in acceptedNameUsage and `Puma` in genus)",string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/genericName,http://rs.tdwg.org/dwc/terms/version/genericName-2023-06-28,The genus part of the dwc:scientificName without authorship.,recommended,false,false
identification,subgenus,,Subgenus,The full scientific name of the subgenus in which the dwc:Taxon is classified.,A value for this term should be a complete subgenus name as required by the appropriate nomenclatural code.,`Abacetus (Parastygis)`; `Dicranum subgen. Orthodicranum`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/subgenus,http://rs.tdwg.org/dwc/terms/version/subgenus-2025-06-12,The full scientific name of the subgenus in which the dwc:Taxon is classified.,recommended,false,false
identification,infragenericEpithet,,Infrageneric Epithet,The infrageneric part of a binomial name at ranks above species but below genus.,"The term dwc:infragenericEpithet should be used in conjunction with dwc:genericName, dwc:specificEpithet, dwc:infraspecificEpithet, dwc:taxonRank and dwc:scientificNameAuthorship to represent the individual elements of the complete dwc:scientificName. It can be used to indicate the subgenus placement of a species, which in zoology is often given in parentheses. Can also be used to share infrageneric names such as botanical sections (e.g., `Vicia sect. Cracca`).",`Abacetillus` (for scientificName `Abacetus (Abacetillus) ambiguus`); `Cracca` (for scientificName `Vicia sect. Cracca`),string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/infragenericEpithet,http://rs.tdwg.org/dwc/terms/version/infragenericEpithet-2023-06-28,The infrageneric part of a binomial name at ranks above species but below genus.,recommended,false,false
identification,specificEpithet,,Specific Epithet,The name of the first or species epithet of the dwc:scientificName.,,`concolor`; `gottschei`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/specificEpithet,http://rs.tdwg.org/dwc/terms/version/specificEpithet-2023-06-28,The name of the first or species epithet of the dwc:scientificName.,recommended,false,false
identification,infraspecificEpithet,,Infraspecific Epithet,The name of the first or species epithet of the dwc:scientificName.,"In botany, name strings in literature and identifications may have multiple infraspecific ranks. According to the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles 6.7 & Art. 24.1), valid names only have two epithets, with the lowest rank being the dwc:infraspecificEpithet. For example: the dwc:infraspecificEpithet in the string `Indigofera charlieriana subsp. sessilis var. scaberrima` is `scaberrima` and the dwc:scientificName is `Indigofera charlieriana var. scaberrima (Schinz) J.B.Gillett`. Use dwc:verbatimIdentification for the full name string used in a dwc:Identification.",`concolor` (for scientificName `Puma concolor concolor`); `oxyadenia` (for scientificName `Quercus agrifolia var. oxyadenia`); `laxa` (for scientificName `Cheilanthes hirta f. laxa`); `scaberrima` (for scientificName `Indigofera charlieriana var. scaberrima`),string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/infraspecificEpithet,http://rs.tdwg.org/dwc/terms/version/infraspecificEpithet-2023-06-28,The name of the first or species epithet of the dwc:scientificName.,recommended,false,false
identification,cultivarEpithet,,Cultivar Epithet,"Part of the name of a cultivar, cultivar group or grex that follows the dwc:scientificName.","According to the Rules of the Cultivated Plant Code, a cultivar name consists of a botanical name followed by a cultivar epithet. The value given as the dwc:cultivarEpithet should exclude any quotes. The term dwc:taxonRank should be used to indicate which type of cultivated plant name (e.g. cultivar, cultivar group, grex) is concerned. This epithet, including any enclosing apostrophes or suffix, should be provided in dwc:scientificName as well.",`King Edward` (for scientificName `Solanum tuberosum 'King Edward'` and taxonRank `cultivar`); `Mishmiense` (for scientificName `Rhododendron boothii Mishmiense Group` and taxonRank `cultivar group`); `Atlantis` (for scientificName `Paphiopedilum Atlantis grex` and taxonRank `grex`),string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/cultivarEpithet,http://rs.tdwg.org/dwc/terms/version/cultivarEpithet-2023-06-28,"Part of the name of a cultivar, cultivar group or grex that follows the dwc:scientificName.",recommended,false,false
identification,nameAccordingTo,,Name According To,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.","This term provides context to the dwc:scientificName. Together with the dwc:scientificName, separated by `sensu` or `sec.`, it forms the taxon concept label, which may be seen as having the same relationship to dwc:taxonConceptID as, for example, dwc:acceptedNameUsage has to dwc:acceptedNameUsageID. When not provided, in Taxon Core data sets the dwc:nameAccordingTo can be taken to be the data set. In this case the data set mostly provides sufficient context to infer the delimitation of the taxon and its relationship with other taxa. In Occurrence Core data sets, when not provided, dwc:nameAccordingTo can be an underlying taxonomy of the data set, e.g. Plants of the World Online (http://powo.science.kew.org/) for vascular plant records in iNaturalist (in which case it should be provided), or, which is the case for most dwc:PreservedSpecimen data sets, the dwc:Identification, in which case there is no further context.","`Franz NM, Cardona-Duque J (2013) Description of two new species and phylogenetic reassessment of Perelleschus Wibmer & O’Brien, 1986 (Coleoptera: Curculionidae), with a complete taxonomic concept history of Perelleschus sec. Franz & Cardona-Duque, 2013. Syst Biodivers. 11: 209–236.` (as the full citation of the Franz & Cardona-Duque (2013) in Perelleschus splendida sec. Franz & Cardona-Duque (2013))",string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/nameAccordingTo,http://rs.tdwg.org/dwc/terms/version/nameAccordingTo-2023-06-28,"The reference to the source in which the specific taxon concept circumscription is defined or implied - traditionally signified by the Latin ""sensu"" or ""sec."" (from secundum, meaning ""according to""). For taxa that result from identifications, a reference to the keys, monographs, experts and other sources should be given.",recommended,false,false
identification,nomenclaturalCode,,Nomenclatural Code,The nomenclatural code (or codes in the case of an ambiregnal name) under which the dwc:scientificName is constructed.,Recommended best practice is to use a controlled vocabulary.,`ICN`; `ICZN`; `BC`; `ICNCP`; `BioCode`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/nomenclaturalCode,http://rs.tdwg.org/dwc/terms/version/nomenclaturalCode-2023-06-28,The nomenclatural code (or codes in the case of an ambiregnal name) under which the dwc:scientificName is constructed.,recommended,false,false
identification,nomenclaturalStatus,,Nomenclatural Status,The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code. It requires no taxonomic opinion.,,`nom. ambig.`; `nom. illeg.`; `nom. subnud.`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/nomenclaturalStatus,http://rs.tdwg.org/dwc/terms/version/nomenclaturalStatus-2023-06-28,The status related to the original publication of the name and its conformance to the relevant rules of nomenclature. It is based essentially on an algorithm according to the business rules of the code. It requires no taxonomic opinion.,recommended,false,false
identification,namePublishedIn,,Name Published In,A reference for the publication in which the dwc:scientificName was originally established under the rules of the associated dwc:nomenclaturalCode.,"A citation of the first publication of the name in its given combination, not the basionym / original name. Recombinations are often not published in zoology, in which case dwc:namePublishedIn should be empty.","`Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388`; `Forel, Auguste, Diagnosies provisoires de quelques espèces nouvelles de fourmis de Madagascar, récoltées par M. Grandidier., Annales de la Societe Entomologique de Belgique, Comptes-rendus des Seances 30, 1886`",string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/namePublishedIn,http://rs.tdwg.org/dwc/terms/version/namePublishedIn-2023-06-28,A reference for the publication in which the dwc:scientificName was originally established under the rules of the associated dwc:nomenclaturalCode.,recommended,false,false
identification,namePublishedInYear,,Name Published In Year,The four-digit year in which the dwc:scientificName was published.,,`1915`; `2008`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/namePublishedInYear,http://rs.tdwg.org/dwc/terms/version/namePublishedInYear-2023-06-28,The four-digit year in which the dwc:scientificName was published.,recommended,false,false
identification,taxonRemarks,,Taxon Remarks,Comments or notes about the taxon or name.,,`this name is a misspelling in common use`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/taxonRemarks,http://rs.tdwg.org/dwc/terms/version/taxonRemarks-2017-10-06,Comments or notes about the taxon or name.,recommended,false,false
identification,feedbackURL,,Feedback URL,A uniform resource locator (URL) that points to a webpage on which a form may be submitted to gather feedback about the record.,A uniform resource locator (URL) that points to a webpage on which a form may be submitted to gather feedback about the record.,`https://example.com/new?title=New+issue&body=This+comment+is+about+CAN12345`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/feedbackURL,http://rs.tdwg.org/dwc/terms/version/feedbackURL-2025-06-12,A uniform resource locator (URL) that points to a webpage on which a form may be submitted to gather feedback about the record.,recommended,false,true
identification-agent-role,agentID,fk,Agent ID,An identifier for a dcterms:Agent.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,,,,recommended,true,true
identification-agent-role,identificationID,fk,Identification ID,An identifier for a dwc:Identification.,Recommended best practice is to use a globally unique identifier.,,string,default,false,true,,,dwc,http://rs.tdwg.org/dwc/terms/identificationID,http://rs.tdwg.org/dwc/terms/version/identificationID-2023-06-28,An identifier for the dwc:Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.,recommended,false,true
